filepath,split,label,duration,samplerate,channels
data\for-2seconds\training\real\file3890.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,real,2.0,16000,1
data\for-2seconds\validation\real\file28428.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,validation,real,2.0,16000,1
data\for-2seconds\training\fake\file8400.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,fake,2.0,16000,1
data\for-2seconds\training\fake\file29711.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,fake,2.0,16000,1
data\for-2seconds\training\real\file12360.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,real,2.0,16000,1
data\for-2seconds\validation\real\file34132.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,validation,real,2.0,16000,1
data\for-2seconds\training\fake\file29160.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,fake,2.0,16000,1
data\for-2seconds\testing\fake\file1999.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,testing,fake,2.0,16000,1
data\for-2seconds\training\real\file19603.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,real,2.0,16000,1
data\for-2seconds\training\fake\file21815.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,fake,2.0,16000,1
data\for-2seconds\training\real\file29135.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,real,2.0,16000,1
data\for-2seconds\training\fake\file27089.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,fake,2.0,16000,1
data\for-2seconds\testing\fake\file470.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,testing,fake,2.0,16000,1
data\for-2seconds\training\real\file8544.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,real,2.0,16000,1
data\for-2seconds\training\real\file32495.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,real,2.0,16000,1
data\for-2seconds\testing\fake\file1802.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,testing,fake,2.0,16000,1
data\for-2seconds\validation\real\file30836.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,validation,real,2.0,16000,1
data\for-2seconds\training\fake\file3711.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,fake,2.0,16000,1
data\for-2seconds\testing\real\file928.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,testing,real,2.0,16000,1
data\for-2seconds\training\fake\file20037.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,fake,2.0,16000,1
data\for-2seconds\testing\real\file1359.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,testing,real,2.0,16000,1
data\for-2seconds\training\real\file25712.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,real,2.0,16000,1
data\for-2seconds\training\fake\file17561.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,fake,2.0,16000,1
data\for-2seconds\training\real\file18471.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,real,2.0,16000,1
data\for-2seconds\training\real\file32382.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,real,2.0,16000,1
data\for-2seconds\validation\real\file5860.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,validation,real,2.0,16000,1
data\for-2seconds\training\real\file32273.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,real,2.0,16000,1
data\for-2seconds\training\real\file13860.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,real,2.0,16000,1
data\for-2seconds\testing\real\file1265.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,testing,real,2.0,16000,1
data\for-2seconds\training\real\file18009.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,real,2.0,16000,1
data\for-2seconds\training\real\file18623.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,real,2.0,16000,1
data\for-2seconds\training\fake\file7942.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,fake,2.0,16000,1
data\for-2seconds\training\real\file3340.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,real,2.0,16000,1
data\for-2seconds\validation\real\file14790.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,validation,real,2.0,16000,1
data\for-2seconds\validation\real\file33141.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,validation,real,2.0,16000,1
data\for-2seconds\validation\real\file3761.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,validation,real,2.0,16000,1
data\for-2seconds\testing\real\file1315.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,testing,real,2.0,16000,1
data\for-2seconds\training\real\file29993.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,real,2.0,16000,1
data\for-2seconds\training\fake\file24327.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,fake,2.0,16000,1
data\for-2seconds\training\real\file3939.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,real,2.0,16000,1
data\for-2seconds\training\fake\file30809.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,fake,2.0,16000,1
data\for-2seconds\training\fake\file8264.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,fake,2.0,16000,1
data\for-2seconds\validation\fake\file19408.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,validation,fake,2.0,16000,1
data\for-2seconds\training\real\file12767.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,real,2.0,16000,1
data\for-2seconds\training\real\file3126.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,real,2.0,16000,1
data\for-2seconds\validation\real\file15674.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,validation,real,2.0,16000,1
data\for-2seconds\training\real\file10156.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,real,2.0,16000,1
data\for-2seconds\training\fake\file30774.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,fake,2.0,16000,1
data\for-2seconds\training\fake\file29736.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,fake,2.0,16000,1
data\for-2seconds\validation\real\file32701.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,validation,real,2.0,16000,1
data\for-2seconds\training\real\file17238.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,real,2.0,16000,1
data\for-2seconds\training\real\file10807.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,real,2.0,16000,1
data\for-2seconds\training\real\file18821.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,real,2.0,16000,1
data\for-2seconds\training\fake\file18043.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,fake,2.0,16000,1
data\for-2seconds\training\fake\file7170.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,fake,2.0,16000,1
data\for-2seconds\testing\fake\file1056.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,testing,fake,2.0,16000,1
data\for-2seconds\validation\fake\file7966.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,validation,fake,2.0,16000,1
data\for-2seconds\validation\fake\file26968.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,validation,fake,2.0,16000,1
data\for-2seconds\training\fake\file248.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,fake,2.0,16000,1
data\for-2seconds\training\fake\file20139.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,fake,2.0,16000,1
data\for-2seconds\training\fake\file30041.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,fake,2.0,16000,1
data\for-2seconds\training\fake\file15032.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,fake,2.0,16000,1
data\for-2seconds\training\real\file27752.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,real,2.0,16000,1
data\for-2seconds\validation\fake\file33951.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,validation,fake,2.0,16000,1
data\for-2seconds\training\fake\file13109.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,fake,2.0,16000,1
data\for-2seconds\validation\fake\file27777.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,validation,fake,2.0,16000,1
data\for-2seconds\training\real\file9298.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,real,2.0,16000,1
data\for-2seconds\training\real\file14599.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,real,2.0,16000,1
data\for-2seconds\testing\real\file1409.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,testing,real,2.0,16000,1
data\for-2seconds\validation\fake\file27620.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,validation,fake,2.0,16000,1
data\for-2seconds\training\fake\file33391.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,fake,2.0,16000,1
data\for-2seconds\testing\fake\file712.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,testing,fake,2.0,16000,1
data\for-2seconds\training\real\file28239.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,real,2.0,16000,1
data\for-2seconds\validation\real\file25502.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,validation,real,2.0,16000,1
data\for-2seconds\validation\real\file15217.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,validation,real,2.0,16000,1
data\for-2seconds\training\fake\file14783.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,fake,2.0,16000,1
data\for-2seconds\testing\fake\file935.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,testing,fake,2.0,16000,1
data\for-2seconds\training\real\file4469.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,real,2.0,16000,1
data\for-2seconds\testing\fake\file1220.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,testing,fake,2.0,16000,1
data\for-2seconds\training\fake\file14100.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,fake,2.0,16000,1
data\for-2seconds\testing\real\file361.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,testing,real,2.0,16000,1
data\for-2seconds\testing\fake\file100.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,testing,fake,2.0,16000,1
data\for-2seconds\testing\real\file805.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,testing,real,2.0,16000,1
data\for-2seconds\training\real\file25584.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,real,2.0,16000,1
data\for-2seconds\training\fake\file10376.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,fake,2.0,16000,1
data\for-2seconds\training\real\file9669.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,real,2.0,16000,1
data\for-2seconds\testing\fake\file2162.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,testing,fake,2.0,16000,1
data\for-2seconds\training\fake\file27433.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,fake,2.0,16000,1
data\for-2seconds\training\real\file3603.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,real,2.0,16000,1
data\for-2seconds\testing\real\file1361.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,testing,real,2.0,16000,1
data\for-2seconds\training\fake\file27402.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,fake,2.0,16000,1
data\for-2seconds\validation\fake\file6610.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,validation,fake,2.0,16000,1
data\for-2seconds\training\real\file13825.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,real,2.0,16000,1
data\for-2seconds\training\real\file32022.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,real,2.0,16000,1
data\for-2seconds\training\fake\file1080.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,fake,2.0,16000,1
data\for-2seconds\training\fake\file33009.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,fake,2.0,16000,1
data\for-2seconds\training\fake\file16924.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,fake,2.0,16000,1
data\for-2seconds\testing\real\file2100.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,testing,real,2.0,16000,1
data\for-2seconds\testing\real\file685.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,testing,real,2.0,16000,1
data\for-2seconds\training\fake\file8552.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,fake,2.0,16000,1
data\for-2seconds\testing\real\file2131.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,testing,real,2.0,16000,1
data\for-2seconds\training\real\file29495.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,real,2.0,16000,1
data\for-2seconds\testing\fake\file688.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,testing,fake,2.0,16000,1
data\for-2seconds\training\fake\file29655.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,fake,2.0,16000,1
data\for-2seconds\training\real\file25100.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,real,2.0,16000,1
data\for-2seconds\training\real\file9540.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,real,2.0,16000,1
data\for-2seconds\training\real\file11228.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,real,2.0,16000,1
data\for-2seconds\training\real\file14492.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,real,2.0,16000,1
data\for-2seconds\training\real\file11062.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,real,2.0,16000,1
data\for-2seconds\training\real\file10456.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,real,2.0,16000,1
data\for-2seconds\training\real\file3264.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,real,2.0,16000,1
data\for-2seconds\validation\fake\file27680.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,validation,fake,2.0,16000,1
data\for-2seconds\training\real\file12136.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,real,2.0,16000,1
data\for-2seconds\testing\real\file769.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,testing,real,2.0,16000,1
data\for-2seconds\testing\fake\file931.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,testing,fake,2.0,16000,1
data\for-2seconds\testing\real\file1032.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,testing,real,2.0,16000,1
data\for-2seconds\training\real\file10830.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,real,2.0,16000,1
data\for-2seconds\testing\real\file773.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,testing,real,2.0,16000,1
data\for-2seconds\training\fake\file998.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,fake,2.0,16000,1
data\for-2seconds\validation\real\file26853.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,validation,real,2.0,16000,1
data\for-2seconds\training\real\file28134.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,real,2.0,16000,1
data\for-2seconds\testing\fake\file126.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,testing,fake,2.0,16000,1
data\for-2seconds\training\fake\file16268.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,fake,2.0,16000,1
data\for-2seconds\testing\fake\file2044.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,testing,fake,2.0,16000,1
data\for-2seconds\training\fake\file15018.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,fake,2.0,16000,1
data\for-2seconds\training\fake\file15368.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,fake,2.0,16000,1
data\for-2seconds\validation\real\file8739.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,validation,real,2.0,16000,1
data\for-2seconds\training\real\file17541.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,real,2.0,16000,1
data\for-2seconds\testing\real\file1499.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,testing,real,2.0,16000,1
data\for-2seconds\training\fake\file6868.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,fake,2.0,16000,1
data\for-2seconds\validation\fake\file27934.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,validation,fake,2.0,16000,1
data\for-2seconds\validation\real\file88.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,validation,real,2.0,16000,1
data\for-2seconds\validation\real\file14981.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,validation,real,2.0,16000,1
data\for-2seconds\testing\real\file973.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,testing,real,2.0,16000,1
data\for-2seconds\validation\real\file23146.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,validation,real,2.0,16000,1
data\for-2seconds\training\real\file6081.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,real,2.0,16000,1
data\for-2seconds\validation\real\file7038.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,validation,real,2.0,16000,1
data\for-2seconds\training\fake\file14219.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,fake,2.0,16000,1
data\for-2seconds\training\fake\file31658.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,fake,2.0,16000,1
data\for-2seconds\training\fake\file16047.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,fake,2.0,16000,1
data\for-2seconds\training\fake\file19361.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,fake,2.0,16000,1
data\for-2seconds\training\real\file27703.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,real,2.0,16000,1
data\for-2seconds\testing\fake\file294.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,testing,fake,2.0,16000,1
data\for-2seconds\training\fake\file5072.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,fake,2.0,16000,1
data\for-2seconds\training\fake\file14475.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,fake,2.0,16000,1
data\for-2seconds\training\real\file14866.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,real,2.0,16000,1
data\for-2seconds\training\real\file10770.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,real,2.0,16000,1
data\for-2seconds\testing\real\file292.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,testing,real,2.0,16000,1
data\for-2seconds\validation\real\file589.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,validation,real,2.0,16000,1
data\for-2seconds\training\fake\file12304.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,fake,2.0,16000,1
data\for-2seconds\validation\real\file29089.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,validation,real,2.0,16000,1
data\for-2seconds\training\fake\file30118.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,fake,2.0,16000,1
data\for-2seconds\training\fake\file25944.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,fake,2.0,16000,1
data\for-2seconds\testing\real\file1625.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,testing,real,2.0,16000,1
data\for-2seconds\training\real\file20310.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,real,2.0,16000,1
data\for-2seconds\training\fake\file24936.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,fake,2.0,16000,1
data\for-2seconds\training\fake\file24056.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,fake,2.0,16000,1
data\for-2seconds\testing\fake\file1513.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,testing,fake,2.0,16000,1
data\for-2seconds\validation\fake\file8790.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,validation,fake,2.0,16000,1
data\for-2seconds\testing\fake\file312.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,testing,fake,2.0,16000,1
data\for-2seconds\testing\real\file25.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,testing,real,2.0,16000,1
data\for-2seconds\validation\real\file32635.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,validation,real,2.0,16000,1
data\for-2seconds\training\real\file8407.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,real,2.0,16000,1
data\for-2seconds\training\real\file17773.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,real,2.0,16000,1
data\for-2seconds\training\fake\file12806.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,fake,2.0,16000,1
data\for-2seconds\training\fake\file15249.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,fake,2.0,16000,1
data\for-2seconds\training\real\file21835.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,real,2.0,16000,1
data\for-2seconds\validation\real\file6754.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,validation,real,2.0,16000,1
data\for-2seconds\training\real\file8943.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,real,2.0,16000,1
data\for-2seconds\training\real\file30939.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,real,2.0,16000,1
data\for-2seconds\training\fake\file6838.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,fake,2.0,16000,1
data\for-2seconds\validation\real\file8334.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,validation,real,2.0,16000,1
data\for-2seconds\training\fake\file23683.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,fake,2.0,16000,1
data\for-2seconds\testing\real\file76.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,testing,real,2.0,16000,1
data\for-2seconds\training\fake\file17744.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,fake,2.0,16000,1
data\for-2seconds\training\real\file8667.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,real,2.0,16000,1
data\for-2seconds\testing\fake\file26.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,testing,fake,2.0,16000,1
